bms_search_id,name,short_name,release_year,url
GFrHSdfE3LVxkc,A-1 ClimaX 3rd -to The First Star-,A-1 ClimaX 3rd -to The First Star-,2012,http://clockxellox.sakura.ne.jp/A-1_3rd/
Y_xyxX3o9xHALJ,BMS OF FOON 2012,BOFOON 2012,2012,https://manbow.nothing.sh/event/event.cgi?action=List_def&event=77
dHsuySQbvucRtD,Easymotion,easymotion,2012,http://phantomscape.in/event/easymotion/
HXeOdIC0jnzdPZ,GENRE-SHUFFLE,GENRE-SHUFFLE,2012,http://colosseo.nekokan.dyndns.info/c02_shuffle/
oS9j61B5q8wIVd,NDK BMS PACK SIDE-A,NDK BMS PACK SIDE-A,2012,https://ndk.nekokan.dyndns.info/ndkbms_001/
zqIagg5em1jFeS,SUMMER 9KEYS FESTIVAL 2012,SUMMER 9KEYS FESTIVAL,2012,http://www.yw-works.com/9keys2012/
o0mPQYYtgxnKFo,Stoic Sounds Meeting #1 - genre sharing,Stoic Sounds Meeting #1 - genre sharing,2012,
OjPItgPQTZWs9q,THE BMS OF FIGHTERS 2012 -Ein neuer Heiliger Krieg-,BOF2012,2012,http://www.bmsoffighters.net/bof2012/
hEhPiw3wglrttp,テストBMSイベント,テストBMSイベント,2012,http://yaruki0.sakura.ne.jp/bms/event/
NgZGiMinE-eKGS,ノンジャンル - 無制限・個人戦BMSイベント,ノンジャンル,2012,http://suudooon.web.fc2.com/nongenre/index.html
WQGmpI_p-sy3GY,東方音弾遊戯4,東方音弾遊戯4,2012,http://yaruki0.sakura.ne.jp/bms/ondanyugi4.html
zzH6hINtjIIeT7,第9回自称無名BMS作家が物申す！,第9回自称無名BMS作家が物申す！,2012,http://www.geocities.jp/mumeisen9/index.html
LwEDogO1e-NxCJ,2013年 春のソフランまつり,2013年 春のソフランまつり,2013,http://www.yamajet.com/bms/ssf/
WlZq-IKLfiLLNi,A-1 ClimaX 4th -Take Me to Next Skool!-,A-1 ClimaX 4th -Take Me to Next Skool!-,2013,http://kinohito0aka0anubasu.web.fc2.com/A-1/a1enter.html
DDjVA68rZQ77oX,AUTUMN 9KEYS STORY 2013,AUTUMN 9KEYS STORY,2013,http://www.yw-works.com/9keys2013/
rx4ldoG5xz7cdD,BEAUTIFULCEMENTII,BEAUTIFULCEMENTII,2013,http://cerebralmuddystream.nekokan.dyndns.info/BCII/index.php
uZzFhqxaIrYrRo,BOF2013 preliminary skirmish,BOF2013予選,2013,
